index,checking_status,months_duration,credit_history,purpose,credit_amount,savings_status,employment_since,installment_rate,personal_status_sex,other_debtors,residence_since,property,age,other_installment_plans,housing,existing_credits,job,people_liable,telephone,foreign_worker,target
205,< 0 DM,30,critical account / other credits elsewhere,car (used),10623,< 100 DM,≥ 7 years,3,male: single,none,4,unknown / none,38,none,for free,3,management/self-employed/highly-qualified/officer,2,"yes, registered",yes,0
206,no checking account,12,critical account / other credits elsewhere,furniture/equipment,1935,< 100 DM,≥ 7 years,4,male: single,none,4,real estate,43,none,own,3,skilled employee/official,1,"yes, registered",yes,0
207,0 ≤ ... < 200 DM,12,critical account / other credits elsewhere,domestic appliances,1424,< 100 DM,4 ≤ ... < 7 years,4,male: single,none,3,building-soc savings / life insurance,26,none,own,1,skilled employee/official,1,none,yes,0
208,< 0 DM,24,existing credits paid duly till now,business,6568,< 100 DM,1 ≤ ... < 4 years,2,male: married/widowed,none,2,car or other (not in savings),21,stores,own,1,unskilled - resident,1,none,yes,0
209,no checking account,12,existing credits paid duly till now,car (used),1413,≥ 1000 DM,4 ≤ ... < 7 years,3,male: single,none,2,building-soc savings / life insurance,55,none,own,1,skilled employee/official,1,none,no,0
210,no checking account,9,critical account / other credits elsewhere,radio/television,3074,unknown / none,1 ≤ ... < 4 years,1,male: single,none,2,real estate,33,none,own,2,skilled employee/official,2,none,yes,0
211,no checking account,36,existing credits paid duly till now,radio/television,3835,unknown / none,≥ 7 years,2,female: divorced/separated/married,none,4,real estate,45,none,own,1,unskilled - resident,1,"yes, registered",yes,0
212,< 0 DM,27,no credits / all paid duly,business,5293,< 100 DM,unemployed,2,male: single,none,4,building-soc savings / life insurance,50,stores,own,2,skilled employee/official,1,"yes, registered",yes,1
213,≥ 200 DM / salary assignment ≥ 1y,30,delay in past,business,1908,< 100 DM,≥ 7 years,4,male: single,none,4,real estate,66,none,own,1,management/self-employed/highly-qualified/officer,1,"yes, registered",yes,1
214,no checking account,36,critical account / other credits elsewhere,radio/television,3342,unknown / none,≥ 7 years,4,male: single,none,2,car or other (not in savings),51,none,own,1,skilled employee/official,1,"yes, registered",yes,0
215,0 ≤ ... < 200 DM,6,critical account / other credits elsewhere,retraining,932,unknown / none,4 ≤ ... < 7 years,1,female: divorced/separated/married,none,3,building-soc savings / life insurance,39,none,own,2,unskilled - resident,1,none,yes,0
216,< 0 DM,18,no credits / all paid duly,business,3104,< 100 DM,4 ≤ ... < 7 years,3,male: single,none,1,building-soc savings / life insurance,31,bank,own,1,skilled employee/official,1,"yes, registered",yes,0
217,≥ 200 DM / salary assignment ≥ 1y,36,existing credits paid duly till now,radio/television,3913,< 100 DM,1 ≤ ... < 4 years,2,male: single,none,2,real estate,23,none,own,1,skilled employee/official,1,"yes, registered",yes,0
218,< 0 DM,24,existing credits paid duly till now,furniture/equipment,3021,< 100 DM,1 ≤ ... < 4 years,2,male: divorced/separated,none,2,real estate,24,none,rent,1,unskilled - resident,1,none,yes,0
219,no checking account,10,existing credits paid duly till now,car (new),1364,< 100 DM,1 ≤ ... < 4 years,2,female: divorced/separated/married,none,4,car or other (not in savings),64,none,own,1,skilled employee/official,1,"yes, registered",yes,0
220,0 ≤ ... < 200 DM,12,existing credits paid duly till now,radio/television,625,< 100 DM,< 1 year,4,male: married/widowed,guarantor,1,real estate,26,bank,own,1,unskilled - resident,1,none,yes,0
221,< 0 DM,12,existing credits paid duly till now,education,1200,unknown / none,1 ≤ ... < 4 years,4,female: divorced/separated/married,none,4,building-soc savings / life insurance,23,bank,rent,1,skilled employee/official,1,"yes, registered",yes,0
222,no checking account,12,existing credits paid duly till now,radio/television,707,< 100 DM,1 ≤ ... < 4 years,4,male: single,none,2,real estate,30,bank,own,2,skilled employee/official,1,none,yes,0
223,no checking account,24,delay in past,business,2978,unknown / none,1 ≤ ... < 4 years,4,male: single,none,4,real estate,32,none,own,2,skilled employee/official,2,"yes, registered",yes,0
224,no checking account,15,existing credits paid duly till now,car (used),4657,< 100 DM,1 ≤ ... < 4 years,3,male: single,none,2,car or other (not in savings),30,none,own,1,skilled employee/official,1,"yes, registered",yes,0
225,no checking account,36,no credits / all paid duly,repairs,2613,< 100 DM,1 ≤ ... < 4 years,4,male: single,none,2,car or other (not in savings),27,none,own,2,skilled employee/official,1,none,yes,0
226,0 ≤ ... < 200 DM,48,existing credits paid duly till now,radio/television,10961,≥ 1000 DM,4 ≤ ... < 7 years,1,male: single,co-applicant,2,unknown / none,27,bank,own,2,skilled employee/official,1,"yes, registered",yes,1
227,< 0 DM,12,existing credits paid duly till now,furniture/equipment,7865,< 100 DM,≥ 7 years,4,male: single,none,4,unknown / none,53,none,for free,1,management/self-employed/highly-qualified/officer,1,"yes, registered",yes,1
228,no checking account,9,existing credits paid duly till now,radio/television,1478,< 100 DM,4 ≤ ... < 7 years,4,male: single,none,2,car or other (not in savings),22,none,own,1,skilled employee/official,1,none,yes,1
229,< 0 DM,24,existing credits paid duly till now,furniture/equipment,3149,< 100 DM,< 1 year,4,male: single,none,1,unknown / none,22,bank,for free,1,skilled employee/official,1,none,yes,0
230,≥ 200 DM / salary assignment ≥ 1y,36,existing credits paid duly till now,radio/television,4210,< 100 DM,1 ≤ ... < 4 years,4,male: single,none,2,car or other (not in savings),26,none,own,1,skilled employee/official,1,none,yes,1
231,no checking account,9,existing credits paid duly till now,car (new),2507,500 ≤ ... < 1000 DM,≥ 7 years,2,male: single,none,4,unknown / none,51,none,for free,1,unskilled - resident,1,none,yes,0
232,no checking account,12,existing credits paid duly till now,radio/television,2141,100 ≤ ... < 500 DM,4 ≤ ... < 7 years,3,male: single,none,1,unknown / none,35,none,own,1,skilled employee/official,1,none,yes,0
233,0 ≤ ... < 200 DM,18,existing credits paid duly till now,radio/television,866,< 100 DM,1 ≤ ... < 4 years,4,male: married/widowed,guarantor,2,real estate,25,none,own,1,unskilled - resident,1,none,yes,0
234,no checking account,4,critical account / other credits elsewhere,radio/television,1544,< 100 DM,4 ≤ ... < 7 years,2,male: single,none,1,real estate,42,none,own,3,unskilled - resident,2,none,yes,0
235,< 0 DM,24,existing credits paid duly till now,radio/television,1823,< 100 DM,unemployed,4,male: single,none,2,car or other (not in savings),30,stores,own,1,management/self-employed/highly-qualified/officer,2,none,yes,1
236,0 ≤ ... < 200 DM,6,existing credits paid duly till now,car (new),14555,unknown / none,unemployed,1,male: single,none,2,building-soc savings / life insurance,23,none,own,1,unemployed/unskilled - non-resident,1,"yes, registered",yes,1
237,0 ≤ ... < 200 DM,21,existing credits paid duly till now,business,2767,100 ≤ ... < 500 DM,≥ 7 years,4,male: divorced/separated,none,2,car or other (not in savings),61,bank,rent,2,unskilled - resident,1,none,yes,1
238,no checking account,12,critical account / other credits elsewhere,radio/television,1291,< 100 DM,1 ≤ ... < 4 years,4,female: divorced/separated/married,none,2,building-soc savings / life insurance,35,none,own,2,skilled employee/official,1,none,yes,0
239,< 0 DM,30,existing credits paid duly till now,radio/television,2522,< 100 DM,≥ 7 years,1,male: single,guarantor,3,building-soc savings / life insurance,39,none,own,1,skilled employee/official,2,none,yes,0
240,< 0 DM,24,existing credits paid duly till now,car (new),915,unknown / none,≥ 7 years,4,female: divorced/separated/married,none,2,car or other (not in savings),29,bank,own,1,skilled employee/official,1,none,yes,1
241,no checking account,6,existing credits paid duly till now,radio/television,1595,< 100 DM,4 ≤ ... < 7 years,3,male: single,none,2,building-soc savings / life insurance,51,none,own,1,skilled employee/official,2,none,yes,0
242,< 0 DM,48,no credits / all paid duly,car (used),4605,< 100 DM,≥ 7 years,3,male: single,none,4,unknown / none,24,none,for free,2,skilled employee/official,2,none,yes,1
243,no checking account,12,critical account / other credits elsewhere,business,1185,< 100 DM,1 ≤ ... < 4 years,3,female: divorced/separated/married,none,2,real estate,27,none,own,2,skilled employee/official,1,none,yes,0
244,no checking account,12,all credits at this bank paid duly,retraining,3447,500 ≤ ... < 1000 DM,1 ≤ ... < 4 years,4,female: divorced/separated/married,none,3,real estate,35,none,own,1,unskilled - resident,2,none,yes,0
245,no checking account,24,existing credits paid duly till now,business,1258,< 100 DM,4 ≤ ... < 7 years,4,male: single,none,1,real estate,25,none,own,1,skilled employee/official,1,"yes, registered",yes,0
246,no checking account,12,critical account / other credits elsewhere,radio/television,717,< 100 DM,≥ 7 years,4,male: single,none,4,real estate,52,none,own,3,skilled employee/official,1,none,yes,0
247,no checking account,6,no credits / all paid duly,car (new),1204,100 ≤ ... < 500 DM,1 ≤ ... < 4 years,4,male: single,none,1,unknown / none,35,bank,rent,1,skilled employee/official,1,none,no,0
248,≥ 200 DM / salary assignment ≥ 1y,24,existing credits paid duly till now,furniture/equipment,1925,< 100 DM,1 ≤ ... < 4 years,2,male: single,none,2,real estate,26,none,own,1,skilled employee/official,1,none,yes,0
249,no checking account,18,existing credits paid duly till now,radio/television,433,< 100 DM,unemployed,3,female: divorced/separated/married,co-applicant,4,real estate,22,none,rent,1,skilled employee/official,1,none,yes,1
250,< 0 DM,6,critical account / other credits elsewhere,car (new),666,≥ 1000 DM,4 ≤ ... < 7 years,3,female: divorced/separated/married,none,4,real estate,39,none,own,2,unskilled - resident,1,"yes, registered",yes,0
251,≥ 200 DM / salary assignment ≥ 1y,12,existing credits paid duly till now,furniture/equipment,2251,< 100 DM,1 ≤ ... < 4 years,1,female: divorced/separated/married,none,2,car or other (not in savings),46,none,own,1,unskilled - resident,1,none,yes,0
252,0 ≤ ... < 200 DM,30,existing credits paid duly till now,car (new),2150,< 100 DM,1 ≤ ... < 4 years,4,female: divorced/separated/married,guarantor,2,unknown / none,24,bank,own,1,skilled employee/official,1,none,yes,1
253,no checking account,24,delay in past,furniture/equipment,4151,100 ≤ ... < 500 DM,1 ≤ ... < 4 years,2,male: single,none,3,building-soc savings / life insurance,35,none,own,2,skilled employee/official,1,none,yes,0
254,0 ≤ ... < 200 DM,9,existing credits paid duly till now,furniture/equipment,2030,unknown / none,4 ≤ ... < 7 years,2,male: single,none,1,car or other (not in savings),24,none,own,1,skilled employee/official,1,"yes, registered",yes,0
255,0 ≤ ... < 200 DM,60,delay in past,radio/television,7418,unknown / none,1 ≤ ... < 4 years,1,male: single,none,1,real estate,27,none,own,1,unskilled - resident,1,none,yes,0
256,no checking account,24,critical account / other credits elsewhere,radio/television,2684,< 100 DM,1 ≤ ... < 4 years,4,male: single,none,2,real estate,35,none,own,2,unskilled - resident,1,none,yes,0
257,< 0 DM,12,all credits at this bank paid duly,radio/television,2149,< 100 DM,1 ≤ ... < 4 years,4,male: divorced/separated,none,1,unknown / none,29,none,for free,1,skilled employee/official,1,none,yes,1
258,no checking account,15,existing credits paid duly till now,car (used),3812,100 ≤ ... < 500 DM,< 1 year,1,female: divorced/separated/married,none,4,car or other (not in savings),23,none,own,1,skilled employee/official,1,"yes, registered",yes,0
259,no checking account,11,critical account / other credits elsewhere,radio/television,1154,100 ≤ ... < 500 DM,unemployed,4,female: divorced/separated/married,none,4,real estate,57,none,own,3,unskilled - resident,1,none,yes,0
260,< 0 DM,12,existing credits paid duly till now,furniture/equipment,1657,< 100 DM,1 ≤ ... < 4 years,2,male: single,none,2,real estate,27,none,own,1,skilled employee/official,1,none,yes,0
261,< 0 DM,24,existing credits paid duly till now,radio/television,1603,< 100 DM,≥ 7 years,4,female: divorced/separated/married,none,4,car or other (not in savings),55,none,own,1,skilled employee/official,1,none,yes,0
262,< 0 DM,18,critical account / other credits elsewhere,car (new),5302,< 100 DM,≥ 7 years,2,male: single,none,4,unknown / none,36,none,for free,3,management/self-employed/highly-qualified/officer,1,"yes, registered",yes,0
263,no checking account,12,critical account / other credits elsewhere,education,2748,< 100 DM,≥ 7 years,2,female: divorced/separated/married,none,4,unknown / none,57,bank,for free,3,unskilled - resident,1,none,yes,0
264,no checking account,10,critical account / other credits elsewhere,car (new),1231,< 100 DM,≥ 7 years,3,male: single,none,4,real estate,32,none,own,2,unskilled - resident,2,none,no,0
265,0 ≤ ... < 200 DM,15,existing credits paid duly till now,radio/television,802,< 100 DM,≥ 7 years,4,male: single,none,3,car or other (not in savings),37,none,own,1,skilled employee/official,2,none,yes,1
266,no checking account,36,critical account / other credits elsewhere,business,6304,unknown / none,≥ 7 years,4,male: single,none,4,real estate,36,none,own,2,skilled employee/official,1,none,yes,0
267,no checking account,24,existing credits paid duly till now,radio/television,1533,< 100 DM,< 1 year,4,female: divorced/separated/married,none,3,car or other (not in savings),38,stores,own,1,skilled employee/official,1,"yes, registered",yes,0
268,< 0 DM,14,existing credits paid duly till now,car (new),8978,< 100 DM,≥ 7 years,1,male: divorced/separated,none,4,building-soc savings / life insurance,45,none,own,1,management/self-employed/highly-qualified/officer,1,"yes, registered",no,1
269,no checking account,24,existing credits paid duly till now,radio/television,999,unknown / none,≥ 7 years,4,male: single,none,2,car or other (not in savings),25,none,own,2,skilled employee/official,1,none,yes,0
270,no checking account,18,existing credits paid duly till now,car (new),2662,unknown / none,4 ≤ ... < 7 years,4,male: single,none,3,building-soc savings / life insurance,32,none,own,1,skilled employee/official,1,none,no,0
271,no checking account,12,critical account / other credits elsewhere,furniture/equipment,1402,500 ≤ ... < 1000 DM,4 ≤ ... < 7 years,3,female: divorced/separated/married,none,4,car or other (not in savings),37,none,rent,1,skilled employee/official,1,"yes, registered",yes,0
272,0 ≤ ... < 200 DM,48,all credits at this bank paid duly,car (new),12169,unknown / none,unemployed,4,male: single,co-applicant,4,unknown / none,36,none,for free,1,management/self-employed/highly-qualified/officer,1,"yes, registered",yes,0
273,0 ≤ ... < 200 DM,48,existing credits paid duly till now,radio/television,3060,< 100 DM,4 ≤ ... < 7 years,4,male: single,none,4,real estate,28,none,own,2,skilled employee/official,1,none,yes,1
274,< 0 DM,30,existing credits paid duly till now,repairs,11998,< 100 DM,< 1 year,1,male: divorced/separated,none,1,unknown / none,34,none,own,1,unskilled - resident,1,"yes, registered",yes,1
275,no checking account,9,existing credits paid duly till now,radio/television,2697,< 100 DM,1 ≤ ... < 4 years,1,male: single,none,2,real estate,32,none,own,1,skilled employee/official,2,none,yes,0
276,no checking account,18,critical account / other credits elsewhere,radio/television,2404,< 100 DM,1 ≤ ... < 4 years,2,female: divorced/separated/married,none,2,car or other (not in savings),26,none,own,2,skilled employee/official,1,none,yes,0
277,< 0 DM,12,existing credits paid duly till now,furniture/equipment,1262,unknown / none,≥ 7 years,2,male: divorced/separated,none,4,building-soc savings / life insurance,49,none,own,1,unskilled - resident,1,"yes, registered",yes,0
278,no checking account,6,existing credits paid duly till now,furniture/equipment,4611,< 100 DM,< 1 year,1,female: divorced/separated/married,none,4,building-soc savings / life insurance,32,none,own,1,skilled employee/official,1,none,yes,1
279,no checking account,24,existing credits paid duly till now,radio/television,1901,100 ≤ ... < 500 DM,1 ≤ ... < 4 years,4,male: single,none,4,car or other (not in savings),29,none,rent,1,management/self-employed/highly-qualified/officer,1,"yes, registered",yes,0
280,no checking account,15,critical account / other credits elsewhere,car (used),3368,≥ 1000 DM,≥ 7 years,3,male: single,none,4,unknown / none,23,none,rent,2,skilled employee/official,1,"yes, registered",yes,0
281,no checking account,12,existing credits paid duly till now,furniture/equipment,1574,< 100 DM,1 ≤ ... < 4 years,4,male: single,none,2,real estate,50,none,own,1,skilled employee/official,1,none,yes,0
282,≥ 200 DM / salary assignment ≥ 1y,18,all credits at this bank paid duly,radio/television,1445,unknown / none,4 ≤ ... < 7 years,4,male: single,none,4,car or other (not in savings),49,bank,own,1,unskilled - resident,1,none,yes,0
283,no checking account,15,critical account / other credits elsewhere,furniture/equipment,1520,unknown / none,≥ 7 years,4,male: single,none,4,building-soc savings / life insurance,63,none,own,1,skilled employee/official,1,none,yes,0
284,0 ≤ ... < 200 DM,24,critical account / other credits elsewhere,car (new),3878,100 ≤ ... < 500 DM,< 1 year,4,male: divorced/separated,none,2,car or other (not in savings),37,none,own,1,skilled employee/official,1,"yes, registered",yes,0
285,< 0 DM,47,existing credits paid duly till now,car (new),10722,< 100 DM,< 1 year,1,female: divorced/separated/married,none,1,real estate,35,none,own,1,unskilled - resident,1,"yes, registered",yes,0
286,< 0 DM,48,existing credits paid duly till now,car (used),4788,< 100 DM,4 ≤ ... < 7 years,4,male: single,none,3,building-soc savings / life insurance,26,none,own,1,skilled employee/official,2,none,yes,0
287,0 ≤ ... < 200 DM,48,delay in past,others,7582,100 ≤ ... < 500 DM,unemployed,2,male: single,none,4,unknown / none,31,none,for free,1,management/self-employed/highly-qualified/officer,1,"yes, registered",yes,0
288,0 ≤ ... < 200 DM,12,existing credits paid duly till now,radio/television,1092,< 100 DM,1 ≤ ... < 4 years,4,female: divorced/separated/married,guarantor,4,real estate,49,none,own,2,skilled employee/official,1,"yes, registered",yes,0
289,< 0 DM,24,delay in past,radio/television,1024,< 100 DM,< 1 year,4,male: married/widowed,none,4,real estate,48,stores,own,1,skilled employee/official,1,none,yes,1
290,no checking account,12,existing credits paid duly till now,business,1076,< 100 DM,1 ≤ ... < 4 years,2,male: married/widowed,none,2,real estate,26,none,own,1,skilled employee/official,1,"yes, registered",no,0
291,0 ≤ ... < 200 DM,36,existing credits paid duly till now,car (used),9398,< 100 DM,< 1 year,1,male: married/widowed,none,4,car or other (not in savings),28,none,rent,1,management/self-employed/highly-qualified/officer,1,"yes, registered",yes,1
292,< 0 DM,24,critical account / other credits elsewhere,car (used),6419,< 100 DM,≥ 7 years,2,female: divorced/separated/married,none,4,unknown / none,44,none,for free,2,management/self-employed/highly-qualified/officer,2,"yes, registered",yes,0
293,≥ 200 DM / salary assignment ≥ 1y,42,critical account / other credits elsewhere,car (used),4796,< 100 DM,≥ 7 years,4,male: single,none,4,unknown / none,56,none,for free,1,skilled employee/official,1,none,yes,0
294,no checking account,48,critical account / other credits elsewhere,business,7629,unknown / none,≥ 7 years,4,male: divorced/separated,none,2,car or other (not in savings),46,bank,own,2,management/self-employed/highly-qualified/officer,2,none,yes,0
295,0 ≤ ... < 200 DM,48,existing credits paid duly till now,furniture/equipment,9960,< 100 DM,< 1 year,1,female: divorced/separated/married,none,2,car or other (not in savings),26,none,own,1,skilled employee/official,1,"yes, registered",yes,1
296,no checking account,12,existing credits paid duly till now,car (used),4675,unknown / none,< 1 year,1,female: divorced/separated/married,none,4,car or other (not in savings),20,none,rent,1,skilled employee/official,1,none,yes,0
297,no checking account,10,existing credits paid duly till now,car (new),1287,unknown / none,≥ 7 years,4,male: single,co-applicant,2,building-soc savings / life insurance,45,none,own,1,unskilled - resident,1,none,no,0
298,no checking account,18,existing credits paid duly till now,furniture/equipment,2515,< 100 DM,1 ≤ ... < 4 years,3,male: single,none,4,real estate,43,none,own,1,skilled employee/official,1,"yes, registered",yes,0
299,0 ≤ ... < 200 DM,21,critical account / other credits elsewhere,furniture/equipment,2745,≥ 1000 DM,4 ≤ ... < 7 years,3,male: single,none,2,car or other (not in savings),32,none,own,2,skilled employee/official,1,"yes, registered",yes,0
300,no checking account,6,existing credits paid duly till now,car (new),672,< 100 DM,unemployed,1,female: divorced/separated/married,none,4,real estate,54,none,own,1,unemployed/unskilled - non-resident,1,"yes, registered",yes,0
301,0 ≤ ... < 200 DM,36,no credits / all paid duly,radio/television,3804,< 100 DM,1 ≤ ... < 4 years,4,female: divorced/separated/married,none,1,car or other (not in savings),42,none,own,1,skilled employee/official,1,"yes, registered",yes,1
302,≥ 200 DM / salary assignment ≥ 1y,24,critical account / other credits elsewhere,car (new),1344,unknown / none,4 ≤ ... < 7 years,4,male: single,none,2,real estate,37,bank,own,2,unskilled - resident,2,none,yes,1
303,< 0 DM,10,critical account / other credits elsewhere,car (new),1038,< 100 DM,4 ≤ ... < 7 years,4,male: single,co-applicant,3,building-soc savings / life insurance,49,none,own,2,skilled employee/official,1,"yes, registered",yes,0
304,no checking account,48,critical account / other credits elsewhere,car (new),10127,500 ≤ ... < 1000 DM,1 ≤ ... < 4 years,2,male: single,none,2,unknown / none,44,bank,for free,1,skilled employee/official,1,none,yes,1
305,no checking account,6,existing credits paid duly till now,furniture/equipment,1543,≥ 1000 DM,1 ≤ ... < 4 years,4,male: divorced/separated,none,2,real estate,33,none,own,1,skilled employee/official,1,none,yes,0
306,no checking account,30,existing credits paid duly till now,car (used),4811,unknown / none,4 ≤ ... < 7 years,2,female: divorced/separated/married,none,4,building-soc savings / life insurance,24,stores,rent,1,unskilled - resident,1,none,yes,0
307,< 0 DM,12,existing credits paid duly till now,radio/television,727,100 ≤ ... < 500 DM,< 1 year,4,male: married/widowed,none,3,unknown / none,33,none,own,1,unskilled - resident,1,"yes, registered",yes,1
308,0 ≤ ... < 200 DM,8,existing credits paid duly till now,furniture/equipment,1237,< 100 DM,1 ≤ ... < 4 years,3,female: divorced/separated/married,none,4,real estate,24,none,own,1,skilled employee/official,1,none,yes,1
309,0 ≤ ... < 200 DM,9,existing credits paid duly till now,car (new),276,< 100 DM,1 ≤ ... < 4 years,4,male: married/widowed,none,4,real estate,22,none,rent,1,unskilled - resident,1,none,yes,0
310,0 ≤ ... < 200 DM,48,existing credits paid duly till now,others,5381,unknown / none,unemployed,3,male: single,none,4,unknown / none,40,bank,for free,1,unemployed/unskilled - non-resident,1,"yes, registered",yes,0
311,no checking account,24,existing credits paid duly till now,furniture/equipment,5511,100 ≤ ... < 500 DM,1 ≤ ... < 4 years,4,male: single,none,1,car or other (not in savings),25,stores,own,1,skilled employee/official,1,none,yes,0
312,≥ 200 DM / salary assignment ≥ 1y,24,existing credits paid duly till now,furniture/equipment,3749,< 100 DM,< 1 year,2,female: divorced/separated/married,none,4,car or other (not in savings),26,none,own,1,skilled employee/official,1,none,yes,0
313,0 ≤ ... < 200 DM,12,existing credits paid duly till now,car (new),685,< 100 DM,4 ≤ ... < 7 years,2,male: married/widowed,none,3,car or other (not in savings),25,bank,own,1,unskilled - resident,1,none,yes,1
314,≥ 200 DM / salary assignment ≥ 1y,4,existing credits paid duly till now,car (new),1494,unknown / none,< 1 year,1,male: single,none,2,real estate,29,none,own,1,unskilled - resident,2,none,no,0
315,< 0 DM,36,all credits at this bank paid duly,furniture/equipment,2746,< 100 DM,≥ 7 years,4,male: single,none,4,car or other (not in savings),31,bank,own,1,skilled employee/official,1,none,yes,1
316,< 0 DM,12,existing credits paid duly till now,furniture/equipment,708,< 100 DM,1 ≤ ... < 4 years,2,male: single,guarantor,3,building-soc savings / life insurance,38,none,own,1,unskilled - resident,2,none,yes,0
317,0 ≤ ... < 200 DM,24,existing credits paid duly till now,furniture/equipment,4351,unknown / none,1 ≤ ... < 4 years,1,female: divorced/separated/married,none,4,building-soc savings / life insurance,48,none,own,1,unskilled - resident,1,"yes, registered",yes,0
318,no checking account,12,critical account / other credits elsewhere,education,701,< 100 DM,1 ≤ ... < 4 years,4,male: single,none,2,car or other (not in savings),32,none,own,2,skilled employee/official,1,none,yes,0
319,< 0 DM,15,delay in past,furniture/equipment,3643,< 100 DM,≥ 7 years,1,female: divorced/separated/married,none,4,building-soc savings / life insurance,27,none,own,2,unskilled - resident,1,none,yes,0
320,0 ≤ ... < 200 DM,30,critical account / other credits elsewhere,car (new),4249,< 100 DM,unemployed,4,male: married/widowed,none,2,car or other (not in savings),28,none,own,2,management/self-employed/highly-qualified/officer,1,none,yes,1
321,< 0 DM,24,existing credits paid duly till now,radio/television,1938,< 100 DM,< 1 year,4,male: divorced/separated,none,3,building-soc savings / life insurance,32,none,own,1,skilled employee/official,1,none,yes,1
322,< 0 DM,24,existing credits paid duly till now,car (used),2910,< 100 DM,4 ≤ ... < 7 years,2,male: single,none,1,unknown / none,34,none,for free,1,management/self-employed/highly-qualified/officer,1,"yes, registered",yes,0
323,< 0 DM,18,existing credits paid duly till now,furniture/equipment,2659,≥ 1000 DM,1 ≤ ... < 4 years,4,male: single,none,2,car or other (not in savings),28,none,own,1,skilled employee/official,1,none,yes,0
324,no checking account,18,critical account / other credits elsewhere,car (new),1028,< 100 DM,1 ≤ ... < 4 years,4,female: divorced/separated/married,none,3,real estate,36,none,own,2,skilled employee/official,1,none,yes,0
325,< 0 DM,8,critical account / other credits elsewhere,car (new),3398,< 100 DM,4 ≤ ... < 7 years,1,male: single,none,4,real estate,39,none,own,2,unskilled - resident,1,none,no,0
326,no checking account,12,critical account / other credits elsewhere,furniture/equipment,5801,unknown / none,≥ 7 years,2,male: single,none,4,building-soc savings / life insurance,49,none,rent,1,skilled employee/official,1,"yes, registered",yes,0
327,no checking account,24,existing credits paid duly till now,car (new),1525,≥ 1000 DM,4 ≤ ... < 7 years,4,female: divorced/separated/married,none,3,car or other (not in savings),34,none,own,1,skilled employee/official,2,"yes, registered",yes,0
328,≥ 200 DM / salary assignment ≥ 1y,36,existing credits paid duly till now,radio/television,4473,< 100 DM,≥ 7 years,4,male: single,none,2,car or other (not in savings),31,none,own,1,skilled employee/official,1,none,yes,0
329,0 ≤ ... < 200 DM,6,existing credits paid duly till now,radio/television,1068,< 100 DM,≥ 7 years,4,male: single,none,4,car or other (not in savings),28,none,own,1,skilled employee/official,2,none,yes,0
330,< 0 DM,24,critical account / other credits elsewhere,car (used),6615,< 100 DM,unemployed,2,male: single,none,4,unknown / none,75,none,for free,2,management/self-employed/highly-qualified/officer,1,"yes, registered",yes,0
331,no checking account,18,critical account / other credits elsewhere,education,1864,100 ≤ ... < 500 DM,1 ≤ ... < 4 years,4,female: divorced/separated/married,none,2,real estate,30,none,own,2,skilled employee/official,1,none,yes,1
332,0 ≤ ... < 200 DM,60,existing credits paid duly till now,car (new),7408,100 ≤ ... < 500 DM,< 1 year,4,female: divorced/separated/married,none,2,building-soc savings / life insurance,24,none,own,1,management/self-employed/highly-qualified/officer,1,none,yes,1
333,no checking account,48,critical account / other credits elsewhere,car (used),11590,100 ≤ ... < 500 DM,1 ≤ ... < 4 years,2,female: divorced/separated/married,none,4,car or other (not in savings),24,bank,rent,2,unskilled - resident,1,none,yes,1
334,< 0 DM,24,no credits / all paid duly,furniture/equipment,4110,< 100 DM,≥ 7 years,3,male: single,none,4,unknown / none,23,bank,rent,2,skilled employee/official,2,none,yes,1
335,< 0 DM,6,critical account / other credits elsewhere,furniture/equipment,3384,< 100 DM,1 ≤ ... < 4 years,1,male: divorced/separated,none,4,real estate,44,none,rent,1,management/self-employed/highly-qualified/officer,1,"yes, registered",yes,1
336,0 ≤ ... < 200 DM,13,existing credits paid duly till now,radio/television,2101,< 100 DM,< 1 year,2,female: divorced/separated/married,guarantor,4,building-soc savings / life insurance,23,none,own,1,unskilled - resident,1,none,yes,0
337,< 0 DM,15,existing credits paid duly till now,domestic appliances,1275,unknown / none,1 ≤ ... < 4 years,4,female: divorced/separated/married,none,2,car or other (not in savings),24,none,rent,1,skilled employee/official,1,none,yes,1
338,< 0 DM,24,existing credits paid duly till now,furniture/equipment,4169,< 100 DM,1 ≤ ... < 4 years,4,male: single,none,4,building-soc savings / life insurance,28,none,own,1,skilled employee/official,1,none,yes,0
339,0 ≤ ... < 200 DM,10,existing credits paid duly till now,furniture/equipment,1521,< 100 DM,1 ≤ ... < 4 years,4,male: divorced/separated,none,2,car or other (not in savings),31,none,own,1,unskilled - resident,1,none,yes,0
340,0 ≤ ... < 200 DM,24,critical account / other credits elsewhere,education,5743,< 100 DM,< 1 year,2,female: divorced/separated/married,none,4,unknown / none,24,none,for free,2,skilled employee/official,1,"yes, registered",yes,0
341,< 0 DM,21,existing credits paid duly till now,furniture/equipment,3599,< 100 DM,4 ≤ ... < 7 years,1,female: divorced/separated/married,none,4,car or other (not in savings),26,none,rent,1,unskilled - resident,1,none,yes,0
342,0 ≤ ... < 200 DM,18,existing credits paid duly till now,radio/television,3213,500 ≤ ... < 1000 DM,< 1 year,1,male: married/widowed,none,3,real estate,25,none,rent,1,skilled employee/official,1,none,yes,0
